ID;Example
1;/wiki/100_doors
2;/wiki/15_Puzzle_Game
3;/wiki/2048
4;/wiki/24_game
5;/wiki/24_game/Solve
6;/wiki/4-rings_or_4-squares_puzzle
7;/wiki/9_billion_names_of_God_the_integer
8;/wiki/99_Bottles_of_Beer
9;/wiki/A%2BB
10;/wiki/ABC_Problem
11;/wiki/Abstract_type
12;/wiki/Abundant,_deficient_and_perfect_number_classifications
13;/wiki/Accumulator_factory
14;/wiki/Ackermann_function
15;/wiki/Active_Directory/Connect
16;/wiki/Active_Directory/Search_for_a_user
17;/wiki/Active_object
18;/wiki/Address_of_a_variable
19;/wiki/AKS_test_for_primes
20;/wiki/Align_columns
21;/wiki/Aliquot_sequence_classifications
22;/wiki/Almost_prime
23;/wiki/Amicable_pairs
24;/wiki/Anagrams
25;/wiki/Anagrams/Deranged_anagrams
26;/wiki/Angle_difference_between_two_bearings
27;/wiki/Animate_a_pendulum
28;/wiki/Animation
29;/wiki/Anonymous_recursion
30;/wiki/Append_a_record_to_the_end_of_a_text_file
31;/wiki/Apply_a_callback_to_an_array
32;/wiki/Arbitrary-precision_integers_(included)
33;/wiki/Archimedean_spiral
34;/wiki/Arithmetic_evaluation
35;/wiki/Arithmetic-geometric_mean
36;/wiki/Arithmetic-geometric_mean/Calculate_Pi
37;/wiki/Arithmetic/Complex
38;/wiki/Arithmetic/Integer
39;/wiki/Arithmetic/Rational
40;/wiki/Array_concatenation
41;/wiki/Array_length
42;/wiki/Arrays
43;/wiki/Aspect_Oriented_Programming
44;/wiki/Assertions
45;/wiki/Assertions_in_design_by_contract
46;/wiki/Associative_array/Creation
47;/wiki/Associative_array/Iteration
48;/wiki/Atomic_updates
49;/wiki/AudioAlarm
50;/wiki/Average_loop_length
51;/wiki/Averages/Arithmetic_mean
52;/wiki/Averages/Mean_angle
53;/wiki/Averages/Mean_time_of_day
54;/wiki/Averages/Median
55;/wiki/Averages/Mode
56;/wiki/Averages/Pythagorean_means
57;/wiki/Averages/Root_mean_square
58;/wiki/Averages/Simple_moving_average
59;/wiki/AVL_tree
60;/wiki/Babbage_problem
61;/wiki/Balanced_brackets
62;/wiki/Balanced_ternary
63;/wiki/Barnsley_fern
64;/wiki/Base64_encode_data
65;/wiki/Benford%27s_law
66;/wiki/Bernoulli_numbers
67;/wiki/Best_shuffle
68;/wiki/Binary_digits
69;/wiki/Binary_search
70;/wiki/Binary_strings
71;/wiki/Birthday_problem
72;/wiki/Bitcoin/address_validation
73;/wiki/Bitmap
74;/wiki/Bitmap/Bresenham%27s_line_algorithm
75;/wiki/Bitmap/Flood_fill
76;/wiki/Bitmap/Histogram
77;/wiki/Bitmap/Midpoint_circle_algorithm
78;/wiki/Bitwise_operations
79;/wiki/Boids
80;/wiki/Boolean_values
81;/wiki/Box_the_compass
82;/wiki/Brace_expansion
83;/wiki/Break_OO_privacy
84;/wiki/Brownian_tree
85;/wiki/Bulls_and_cows
86;/wiki/Caesar_cipher
87;/wiki/Calendar
88;/wiki/Call_a_foreign-language_function
89;/wiki/Call_a_function
90;/wiki/Call_a_function_in_a_shared_library
91;/wiki/Call_an_object_method
92;/wiki/Card_shuffles
93;/wiki/Carmichael_3_strong_pseudoprimes
94;/wiki/Case-sensitivity_of_identifiers
95;/wiki/Casting_out_nines
96;/wiki/Catalan_numbers
97;/wiki/Catalan_numbers/Pascal%27s_triangle
98;/wiki/Catamorphism
99;/wiki/Chaos_game
100;/wiki/Character_codes
101;/wiki/Chat_server
102;/wiki/Chebyshev_coefficients
103;/wiki/Check_that_file_exists
104;/wiki/Checkpoint_synchronization
105;/wiki/Chinese_remainder_theorem
106;/wiki/Chinese_zodiac
107;/wiki/Cholesky_decomposition
108;/wiki/Classes
109;/wiki/Closest-pair_problem
110;/wiki/Closures/Value_capture
111;/wiki/Collections
112;/wiki/Color_of_a_screen_pixel
113;/wiki/Colour_bars/Display
114;/wiki/Colour_pinstripe/Display
115;/wiki/Combinations
116;/wiki/Combinations_with_repetitions
117;/wiki/Comma_quibbling
118;/wiki/Command-line_arguments
119;/wiki/Commatizing_numbers
120;/wiki/Comments
121;/wiki/Compare_a_list_of_strings
122;/wiki/Compound_data_type
123;/wiki/Concurrent_computing
124;/wiki/Conditional_structures
125;/wiki/Constrained_genericity
126;/wiki/Constrained_random_points_on_a_circle
127;/wiki/Continued_fraction
128;/wiki/Continued_fraction/Arithmetic/Construct_from_rational_number
129;/wiki/Convert_decimal_number_to_rational
130;/wiki/Convert_seconds_to_compound_duration
131;/wiki/Conway%27s_Game_of_Life
132;/wiki/Copy_a_string
133;/wiki/Count_in_factors
134;/wiki/Count_in_octal
135;/wiki/Count_occurrences_of_a_substring
136;/wiki/Count_the_coins
137;/wiki/CRC-32
138;/wiki/Create_a_file
139;/wiki/Create_a_two-dimensional_array_at_runtime
140;/wiki/Create_an_HTML_table
141;/wiki/CSV_data_manipulation
142;/wiki/CSV_to_HTML_translation
143;/wiki/Cumulative_standard_deviation
144;/wiki/Currency
145;/wiki/Currying
146;/wiki/CUSIP
147;/wiki/Cut_a_rectangle
148;/wiki/Cycle_detection
149;/wiki/Date_format
150;/wiki/Date_manipulation
151;/wiki/Day_of_the_week
152;/wiki/Deal_cards_for_FreeCell
153;/wiki/Death_Star
154;/wiki/Deconvolution/1D
155;/wiki/Define_a_primitive_data_type
156;/wiki/Delegates
157;/wiki/Delete_a_file
158;/wiki/Deming%27s_Funnel
159;/wiki/Detect_division_by_zero
160;/wiki/Determine_if_a_string_is_numeric
161;/wiki/Determine_if_only_one_instance_is_running
162;/wiki/Dice_game_probabilities
163;/wiki/Digital_root
164;/wiki/Digital_root/Multiplicative_digital_root
165;/wiki/Dijkstra%27s_algorithm
166;/wiki/Dinesman%27s_multiple-dwelling_problem
167;/wiki/Dining_philosophers
168;/wiki/Discordian_date
169;/wiki/DNS_query
170;/wiki/Documentation
171;/wiki/Dot_product
172;/wiki/Doubly-linked_list/Element_definition
173;/wiki/Doubly-linked_list/Traversal
174;/wiki/Dragon_curve
175;/wiki/Draw_a_clock
176;/wiki/Draw_a_cuboid
177;/wiki/Draw_a_rotating_cube
178;/wiki/Draw_a_sphere
179;/wiki/Dutch_national_flag_problem
180;/wiki/Echo_server
181;/wiki/Egyptian_division
182;/wiki/Element-wise_operations
183;/wiki/Elementary_cellular_automaton
184;/wiki/Elliptic_curve_arithmetic
185;/wiki/Emirp_primes
186;/wiki/Empty_directory
187;/wiki/Empty_program
188;/wiki/Empty_string
189;/wiki/Enforced_immutability
190;/wiki/Entropy
191;/wiki/Enumerations
192;/wiki/Environment_variables
193;/wiki/Equilibrium_index
194;/wiki/Ethiopian_multiplication
195;/wiki/Euler_method
196;/wiki/Euler%27s_sum_of_powers_conjecture
197;/wiki/Evaluate_binomial_coefficients
198;/wiki/Even_or_odd
199;/wiki/Evolutionary_algorithm
200;/wiki/Exceptions
201;/wiki/Exceptions/Catch_an_exception_thrown_in_a_nested_call
202;/wiki/Execute_a_Markov_algorithm
203;/wiki/Execute_a_system_command
204;/wiki/Execute_Brain****
205;/wiki/Execute_HQ9%2B
206;/wiki/Execute_SNUSP
207;/wiki/Exponentiation_operator
208;/wiki/Exponentiation_order
209;/wiki/Extract_file_extension
210;/wiki/Extreme_floating_point_values
211;/wiki/Factorial
212;/wiki/Factors_of_a_Mersenne_number
213;/wiki/Factors_of_an_integer
214;/wiki/Farey_sequence
215;/wiki/Fast_Fourier_transform
216;/wiki/FASTA_format
217;/wiki/Fibonacci_n-step_number_sequences
218;/wiki/Fibonacci_sequence
219;/wiki/Fibonacci_word
220;/wiki/Fibonacci_word/fractal
221;/wiki/File_extension_is_in_extensions_list
222;/wiki/File_input/output
223;/wiki/File_modification_time
224;/wiki/File_size
225;/wiki/Filter
226;/wiki/Find_common_directory_path
227;/wiki/Find_first_and_last_set_bit_of_a_long_integer
228;/wiki/Find_largest_left_truncatable_prime_in_a_given_base
229;/wiki/Find_limit_of_recursion
230;/wiki/Find_palindromic_numbers_in_both_binary_and_ternary_bases
231;/wiki/Find_the_intersection_of_a_line_with_a_plane
232;/wiki/Find_the_intersection_of_two_lines
233;/wiki/Find_the_last_Sunday_of_each_month
234;/wiki/Find_the_missing_permutation
235;/wiki/Finite_state_machine
236;/wiki/First-class_functions
237;/wiki/Five_weekends
238;/wiki/FizzBuzz
239;/wiki/Flatten_a_list
240;/wiki/Flipping_bits_game
241;/wiki/Flow-control_structures
242;/wiki/Floyd%27s_triangle
243;/wiki/Floyd-Warshall_algorithm
244;/wiki/Forest_fire
245;/wiki/Fork
246;/wiki/Formal_power_series
247;/wiki/Formatted_numeric_output
248;/wiki/Forward_difference
249;/wiki/Four_bit_adder
250;/wiki/Fractal_tree
251;/wiki/Fractran
252;/wiki/Free_polyominoes_enumeration
253;/wiki/FTP
254;/wiki/Function_composition
255;/wiki/Function_definition
256;/wiki/Galton_box_animation
257;/wiki/Gamma_function
258;/wiki/General_FizzBuzz
259;/wiki/Generate_Chess960_starting_position
260;/wiki/Generate_lower_case_ASCII_alphabet
261;/wiki/Generate_random_chess_position
262;/wiki/Generator/Exponential
263;/wiki/Generic_swap
264;/wiki/Get_system_command_output
265;/wiki/Globally_replace_text_in_several_files
266;/wiki/Go_Fish
267;/wiki/Gray_code
268;/wiki/Grayscale_image
269;/wiki/Greatest_common_divisor
270;/wiki/Greatest_element_of_a_list
271;/wiki/Greatest_subsequential_sum
272;/wiki/Greed
273;/wiki/Greyscale_bars/Display
274;/wiki/Guess_the_number
275;/wiki/Guess_the_number/With_feedback
276;/wiki/Guess_the_number/With_feedback_(player)
277;/wiki/GUI_component_interaction
278;/wiki/GUI_enabling/disabling_of_controls
279;/wiki/GUI/Maximum_window_dimensions
280;/wiki/Hailstone_sequence
281;/wiki/Hamming_numbers
282;/wiki/Handle_a_signal
283;/wiki/Happy_numbers
284;/wiki/Harshad_or_Niven_series
285;/wiki/Hash_from_two_arrays
286;/wiki/Hash_join
287;/wiki/Haversine_formula
288;/wiki/Hello_world/Graphical
289;/wiki/Hello_world/Line_printer
290;/wiki/Hello_world/Newbie
291;/wiki/Hello_world/Newline_omission
292;/wiki/Hello_world/Standard_error
293;/wiki/Hello_world/Text
294;/wiki/Hello_world/Web_server
295;/wiki/Heronian_triangles
296;/wiki/Hickerson_series_of_almost_integers
297;/wiki/Higher-order_functions
298;/wiki/History_variables
299;/wiki/Hofstadter_Figure-Figure_sequences
300;/wiki/Hofstadter_Q_sequence
301;/wiki/Hofstadter-Conway_$10,000_sequence
302;/wiki/Holidays_related_to_Easter
303;/wiki/Honeycombs
304;/wiki/Horizontal_sundial_calculations
305;/wiki/Horner%27s_rule_for_polynomial_evaluation
306;/wiki/Host_introspection
307;/wiki/Hostname
308;/wiki/Hough_transform
309;/wiki/HTTP
310;/wiki/HTTPS
311;/wiki/Huffman_coding
312;/wiki/Hunt_The_Wumpus
313;/wiki/I_before_E_except_after_C
314;/wiki/IBAN
315;/wiki/Identity_matrix
316;/wiki/Idiomatically_determine_all_the_characters_that_can_be_used_for_symbols
317;/wiki/Idiomatically_determine_all_the_lowercase_and_uppercase_letters
318;/wiki/Image_convolution
319;/wiki/Image_noise
320;/wiki/Implicit_type_conversion
321;/wiki/Include_a_file
322;/wiki/Increment_a_numerical_string
323;/wiki/Index_finite_lists_of_positive_integers
324;/wiki/Infinity
325;/wiki/Inheritance/Multiple
326;/wiki/Inheritance/Single
327;/wiki/Input_loop
328;/wiki/Input/Output_for_Lines_of_Text
329;/wiki/Input/Output_for_Pairs_of_Numbers
330;/wiki/Integer_comparison
331;/wiki/Integer_overflow
332;/wiki/Integer_sequence
333;/wiki/Interactive_programming
334;/wiki/Introspection
335;/wiki/Inverted_index
336;/wiki/Inverted_syntax
337;/wiki/Iterated_digits_squaring
338;/wiki/Jaro_distance
339;/wiki/Jensen%27s_Device
340;/wiki/JortSort
341;/wiki/Josephus_problem
342;/wiki/JSON
343;/wiki/Julia_set
344;/wiki/Jump_anywhere
345;/wiki/Kaprekar_numbers
346;/wiki/Keyboard_input/Keypress_check
347;/wiki/Keyboard_macros
348;/wiki/Knapsack_problem/0-1
349;/wiki/Knapsack_problem/Bounded
350;/wiki/Knapsack_problem/Continuous
351;/wiki/Knapsack_problem/Unbounded
352;/wiki/Knight%27s_tour
353;/wiki/Knuth_shuffle
354;/wiki/Knuth%27s_algorithm_S
355;/wiki/Langton%27s_ant
356;/wiki/Largest_int_from_concatenated_ints
357;/wiki/Last_Friday_of_each_month
358;/wiki/Last_letter-first_letter
359;/wiki/Leap_year
360;/wiki/Least_common_multiple
361;/wiki/Left_factorials
362;/wiki/Leonardo_numbers
363;/wiki/Letter_frequency
364;/wiki/Levenshtein_distance
365;/wiki/Levenshtein_distance/Alignment
366;/wiki/Linear_congruential_generator
367;/wiki/List_comprehensions
368;/wiki/Literals/Floating_point
369;/wiki/Literals/Integer
370;/wiki/Literals/String
371;/wiki/Logical_operations
372;/wiki/Long_multiplication
373;/wiki/Longest_common_prefix
374;/wiki/Longest_common_subsequence
375;/wiki/Longest_Common_Substring
376;/wiki/Longest_increasing_subsequence
377;/wiki/Longest_string_challenge
378;/wiki/Look-and-say_sequence
379;/wiki/Loop_over_multiple_arrays_simultaneously
380;/wiki/Loops/Break
381;/wiki/Loops/Continue
382;/wiki/Loops/Do-while
383;/wiki/Loops/Downward_for
384;/wiki/Loops/For
385;/wiki/Loops/For_with_a_specified_step
386;/wiki/Loops/Foreach
387;/wiki/Loops/Infinite
388;/wiki/Loops/N_plus_one_half
389;/wiki/Loops/Nested
390;/wiki/Loops/While
391;/wiki/LU_decomposition
392;/wiki/Lucas-Lehmer_test
393;/wiki/Ludic_numbers
394;/wiki/Luhn_test_of_credit_card_numbers
395;/wiki/Lychrel_numbers
396;/wiki/LZW_compression
397;/wiki/MAC_Vendor_Lookup
398;/wiki/Mad_Libs
399;/wiki/Magic_squares_of_doubly_even_order
400;/wiki/Magic_squares_of_odd_order
401;/wiki/Magic_squares_of_singly_even_order
402;/wiki/Make_a_backup_file
403;/wiki/Make_directory_path
404;/wiki/Man_or_boy_test
405;/wiki/Mandelbrot_set
406;/wiki/Map_range
407;/wiki/Matrix_arithmetic
408;/wiki/Matrix_multiplication
409;/wiki/Matrix_transposition
410;/wiki/Maximum_triangle_path_sum
